dataset,,diffentropy
aemet,count,51.0
aemet,mean,0.4428903383484074
aemet,std,0.25975141485623837
aemet,min,0.0
aemet,25%,0.3219280948873622
aemet,50%,0.3219280948873622
aemet,75%,0.4219280948873623
aemet,max,0.9182958340544896
bfs,count,1859.0
bfs,mean,0.41157668229427585
bfs,std,0.1254198295460877
bfs,min,-0.04089198233393887
bfs,25%,0.2631142045561612
bfs,50%,0.5
bfs,75%,0.5
bfs,max,0.5
bibbase,count,215.0
bibbase,mean,0.14355519555727142
bibbase,std,0.4877507815819286
bibbase,min,-1.3780372788928932
bibbase,25%,-0.18331091168497915
bibbase,50%,0.3709505944546687
bibbase,75%,0.5
bibbase,max,0.5849625007211561
bibsonomy,count,35637.0
bibsonomy,mean,0.018212082269968333
bibsonomy,std,0.010772360996946591
bibsonomy,min,-0.02864895091913855
bibsonomy,25%,0.009624740574146973
bibsonomy,50%,0.016973985720583732
bibsonomy,75%,0.02436090797197821
bibsonomy,max,0.09231521253713104
bne,count,270.0
bne,mean,0.3620526433340389
bne,std,0.11803007251174402
bne,min,0.0
bne,25%,0.2810083521757837
bne,50%,0.4150374992788439
bne,75%,0.4150374992788439
bne,max,0.5849625007211561
dnb,count,5589.0
dnb,mean,0.13766758954300928
dnb,std,0.09158202259650354
dnb,min,-0.003632260832872936
dnb,25%,-0.003632260832872713
dnb,50%,0.17422531566727215
dnb,75%,0.19770277922008986
dnb,max,0.3297010725004603
dwsmannheim,count,71.0
dwsmannheim,mean,0.3796624561168013
dwsmannheim,std,0.08928798031074131
dwsmannheim,min,0.1073267052411433
dwsmannheim,25%,0.4150374992788439
dwsmannheim,50%,0.4150374992788439
dwsmannheim,75%,0.4150374992788439
dwsmannheim,max,0.4150374992788439
eurostat,count,978.0
eurostat,mean,0.12669887002382937
eurostat,std,0.10494712880802226
eurostat,min,-0.1200873199548349
eurostat,25%,0.04029423371770946
eurostat,50%,0.1997125414559564
eurostat,75%,0.1997125414559564
eurostat,max,0.5849625007211561
eye48,count,4.0
eye48,mean,0.0
eye48,std,0.0
eye48,min,0.0
eye48,25%,0.0
eye48,50%,0.0
eye48,75%,0.0
eye48,max,0.0
fao,count,14.0
fao,mean,0.303911509275676
fao,std,0.23247679203460433
fao,min,0.0
fao,25%,0.03008023325541842
fao,50%,0.4714203987224401
fao,75%,0.5
fao,max,0.5
geovocab,count,7680.0
geovocab,mean,0.0
geovocab,std,0.0
geovocab,min,0.0
geovocab,25%,0.0
geovocab,50%,0.0
geovocab,75%,0.0
geovocab,max,0.0
govwild,count,1.0
govwild,mean,0.0
govwild,std,
govwild,min,0.0
govwild,25%,0.0
govwild,50%,0.0
govwild,75%,0.0
govwild,max,0.0
harth,count,102.0
harth,mean,0.20136517422100048
harth,std,0.3633147796858049
harth,min,-0.22161201157774
harth,25%,0.0
harth,50%,0.0
harth,75%,0.2810427714989288
harth,max,1.0
icane,count,28.0
icane,mean,0.7173514187912442
icane,std,0.3374154981284035
icane,min,0.0
icane,25%,0.4394969869215134
icane,50%,0.8609640474436812
icane,75%,1.0
icane,max,1.0
imf,count,248.0
imf,mean,0.32626197134174684
imf,std,0.29508889490594886
imf,min,-0.3745892986998085
imf,25%,0.2630344058337939
imf,50%,0.5
imf,75%,0.5
imf,max,0.5
korrekt,count,7945.0
korrekt,mean,0.26586140103505046
korrekt,std,0.25593866859939396
korrekt,min,0.0
korrekt,25%,0.08605569045116647
korrekt,50%,0.19264507794239535
korrekt,75%,0.3219280948873622
korrekt,max,1.0
l3s,count,1661.0
l3s,mean,0.16053596880319562
l3s,std,0.06113650167878612
l3s,min,-0.09678044961367548
l3s,25%,0.1431060016016965
l3s,50%,0.16665662265764206
l3s,75%,0.18381389033120146
l3s,max,0.4150374992788439
linkedgeodata,count,536.0
linkedgeodata,mean,0.07435897138744366
linkedgeodata,std,0.08366425393704818
linkedgeodata,min,-0.08187436505973755
linkedgeodata,25%,0.027919833565633437
linkedgeodata,50%,0.07049778727234646
linkedgeodata,75%,0.10691520391651288
linkedgeodata,max,1.0
ndljp,count,1.0
ndljp,mean,0.17396542816582894
ndljp,std,
ndljp,min,0.17396542816582894
ndljp,25%,0.17396542816582894
ndljp,50%,0.17396542816582894
ndljp,75%,0.17396542816582894
ndljp,max,0.17396542816582894
ontologi,count,739.0
ontologi,mean,0.13371425052554858
ontologi,std,0.12620568893660825
ontologi,min,0.0
ontologi,25%,0.0040256245294763016
ontologi,50%,0.24304570988117916
ontologi,75%,0.24304570988117916
ontologi,max,0.5297010725004605
openei,count,4.0
openei,mean,0.10767552538663328
openei,std,0.022663643070003146
openei,min,0.08805497511532279
openei,25%,0.08805497511532279
openei,50%,0.10731183255308106
openei,75%,0.12693238282439154
openei,max,0.12802346132504816
reegle,count,243.0
reegle,mean,0.32916366986330814
reegle,std,0.14344445340906872
reegle,min,0.0
reegle,25%,0.2056623292990717
reegle,50%,0.3369655941662062
reegle,75%,0.4150374992788439
reegle,max,0.5849625007211561
revyu,count,42531.0
revyu,mean,0.6154128051815396
revyu,std,0.3078476560873316
revyu,min,-0.207518749639422
revyu,25%,0.3219280948873622
revyu,50%,0.5849625007211561
revyu,75%,1.0
revyu,max,1.0
rodeionet,count,7.0
rodeionet,mean,0.028083390382421032
rodeionet,std,0.035106355401665096
rodeionet,min,0.0
rodeionet,25%,0.0
rodeionet,50%,0.0
rodeionet,75%,0.06315607871041813
rodeionet,max,0.07027157525611097
semanticweb,count,41261.0
semanticweb,mean,0.2730819934052777
semanticweb,std,0.3079045804994502
semanticweb,min,-0.5355104279317615
semanticweb,25%,0.094815782426811
semanticweb,50%,0.14762654704666422
semanticweb,75%,0.2630344058337939
semanticweb,max,1.0
sheffield,count,576429.0
sheffield,mean,0.33297566582139804
sheffield,std,0.025609595006319028
sheffield,min,0.0
sheffield,25%,0.3219280948873622
sheffield,50%,0.3219280948873622
sheffield,75%,0.3297010725004603
sheffield,max,1.0
simia,count,26859.0
simia,mean,0.24169177876132347
simia,std,0.22214052540683238
simia,min,-0.7369655941662061
simia,25%,0.10691520391651288
simia,50%,0.12553088208385788
simia,75%,0.2630344058337939
simia,max,1.0
soton,count,32986.0
soton,mean,0.35780867286467255
soton,std,0.24968231611504182
soton,min,-0.08600174425832917
soton,25%,0.22239242133644851
soton,50%,0.3014345256359321
soton,75%,0.4150374992788439
soton,max,1.0
swcompany,count,30.0
swcompany,mean,0.0
swcompany,std,0.0
swcompany,min,0.0
swcompany,25%,0.0
swcompany,50%,0.0
swcompany,75%,0.0
swcompany,max,0.0
tomheath,count,10.0
tomheath,mean,0.1401757910541531
tomheath,std,0.0845760696229315
tomheath,min,0.0
tomheath,25%,0.10554556177014252
tomheath,50%,0.16308100215580135
tomheath,75%,0.21157483507807684
tomheath,max,0.22239242133644851
twrpi,count,49.0
twrpi,mean,0.2703563101289789
twrpi,std,0.15118111388827218
twrpi,min,0.0
twrpi,25%,0.16992500144231215
twrpi,50%,0.22637659762566556
twrpi,75%,0.4215306559059091
twrpi,max,0.4219280948873623
ukpostcodes,count,5.0
ukpostcodes,mean,0.07705803117695814
ukpostcodes,std,0.10551605478139085
ukpostcodes,min,0.0
ukpostcodes,25%,0.0
ukpostcodes,50%,0.0
ukpostcodes,75%,0.19264507794239535
ukpostcodes,max,0.19264507794239535
dataset,,diffentropy
aemet,count,133.0
aemet,mean,0.4223333490328173
aemet,std,0.18024383578394387
aemet,min,0.0
aemet,25%,0.3219280948873622
aemet,50%,0.3297010725004603
aemet,75%,0.4219280948873623
aemet,max,0.9182958340544896
bfs,count,1861.0
bfs,mean,0.4113964759238669
bfs,std,0.1254070221146817
bfs,min,-0.04089198233393887
bfs,25%,0.2631142045561612
bfs,50%,0.5
bfs,75%,0.5
bfs,max,0.5
bibbase,count,664.0
bibbase,mean,0.19218925039747095
bibbase,std,0.3558291110029733
bibbase,min,-1.3780372788928932
bibbase,25%,0.004778190530954074
bibbase,50%,0.05477543544550678
bibbase,75%,0.5849625007211561
bibbase,max,0.5849625007211561
bibsonomy,count,35637.0
bibsonomy,mean,0.018212082269968333
bibsonomy,std,0.010772360996946591
bibsonomy,min,-0.02864895091913855
bibsonomy,25%,0.009624740574146973
bibsonomy,50%,0.016973985720583732
bibsonomy,75%,0.02436090797197821
bibsonomy,max,0.09231521253713104
bne,count,270.0
bne,mean,0.3620526433340389
bne,std,0.11803007251174402
bne,min,0.0
bne,25%,0.2810083521757837
bne,50%,0.4150374992788439
bne,75%,0.4150374992788439
bne,max,0.5849625007211561
dnb,count,8901.0
dnb,mean,0.22308028818001593
dnb,std,0.17715234571078742
dnb,min,-0.021640636343318587
dnb,25%,0.15568534193175454
dnb,50%,0.19264507794239535
dnb,75%,0.2283593636566814
dnb,max,0.9766804008431452
