dataset,,diffentropy
semanticweb,max,1.5397600538360647
sheffield,count,576428.0
sheffield,mean,0.7847539057756358
sheffield,std,0.261464075210488
sheffield,min,0.0
sheffield,25%,0.5849625007211561
sheffield,50%,1.0
sheffield,75%,1.0
sheffield,max,1.0
simia,count,26858.0
simia,mean,0.2794149329116055
simia,std,0.24946915549047524
simia,min,0.0
simia,25%,0.15200309344505006
simia,50%,0.19264507794239535
simia,75%,0.3219280948873622
simia,max,7.1689128250883725
soton,count,32985.0
soton,mean,0.2270485152603539
soton,std,0.3770776663153671
soton,min,0.0
soton,25%,0.0
soton,50%,0.0
soton,75%,0.488197322572576
soton,max,1.584962500721156
swcompany,count,30.0
swcompany,mean,0.9474919145001954
swcompany,std,1.675976031074316
swcompany,min,0.0
swcompany,25%,0.0
swcompany,50%,0.0
swcompany,75%,1.75
swcompany,max,5.021928094887364
tomheath,count,9.0
tomheath,mean,0.5562677666557909
tomheath,std,0.871894910308962
tomheath,min,0.0
tomheath,25%,0.0
tomheath,50%,0.0
tomheath,75%,0.8112781244591328
tomheath,max,2.557701854827694
twrpi,count,48.0
twrpi,mean,0.6177704450817992
twrpi,std,0.8225678346784746
twrpi,min,0.0
twrpi,25%,0.0
twrpi,50%,0.47132546804898023
twrpi,75%,1.0
twrpi,max,5.368522527728206
ukpostcodes,count,4.0
ukpostcodes,mean,1.0841479170272448
ukpostcodes,std,1.6151890316593551
ukpostcodes,min,0.0
ukpostcodes,25%,0.0
ukpostcodes,50%,0.4591479170272448
ukpostcodes,75%,1.5432958340544896
ukpostcodes,max,3.4182958340544896
dataset,,diffentropy
aemet,count,133.0
aemet,mean,0.6715934443224614
aemet,std,0.47092679253449726
aemet,min,0.0
aemet,25%,0.0
aemet,50%,1.0
aemet,75%,1.0
aemet,max,1.3219280948873622
bfs,count,1861.0
bfs,mean,1.411829921564037
bfs,std,1.645766227236091
bfs,min,0.0
bfs,25%,0.5997125414559563
bfs,50%,1.0
bfs,75%,1.0
bfs,max,6.845149754486503
bibbase,count,664.0
bibbase,mean,0.6447906891675504
bibbase,std,1.216636530126288
bibbase,min,0.0
bibbase,25%,0.0
