entity	typeentity	vocabdesccardinality	vocabdescprimecardinality
http://data.semanticweb.org/workshop/cold/2010/NikolovEtAlPaper	null	5	7	
http://data.semanticweb.org/person/wei-hu	null	5	6	
http://data.semanticweb.org/person/jeff-z-pan	null	5	6	
http://data.semanticweb.org/person/jing-mei	null	4	4	
http://data.semanticweb.org/person/andreas-filler	null	3	3	
http://data.semanticweb.org/person/benjamin-grosof	null	4	4	
http://data.semanticweb.org/person/stefano-soi	null	3	3	
http://data.semanticweb.org/person/michael-erdmann	null	4	4	
http://data.semanticweb.org/person/roberto-zanoli	null	3	3	
http://data.semanticweb.org/person/stefan-gradmann	null	4	4	
http://data.semanticweb.org/person/nicola-fanizzi	null	4	5	
http://data.semanticweb.org/conference/iswc/2010/paper/401	null	8	11	
http://data.semanticweb.org/conference/iswc-aswc/2007/tracks/research/papers/603	null	12	13	
http://data.semanticweb.org/person/eiichi-sunagawa	null	2	3	
http://data.semanticweb.org/person/amit-sheth	null	5	6	
http://data.semanticweb.org/person/raul-hudea	null	4	4	
http://data.semanticweb.org/conference/iswc-aswc/2007/tracks/research/papers/603	null	12	13	
http://data.semanticweb.org/conference/www/2008	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	4	
http://data.semanticweb.org/person/zoi-kaoudi	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	5	
http://data.semanticweb.org/conference/iswc/2010/paper/192	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	8	11	
http://data.semanticweb.org/person/jianfeng-du	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	4	
http://data.semanticweb.org/conference/iswc/2010/paper/465	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	8	11	
http://data.semanticweb.org/person/cassia-trojahn	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	3	
http://data.semanticweb.org/organization/the-open-university	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	2	3	
http://data.semanticweb.org/person/kingsley-idehen	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	5	
http://data.semanticweb.org/organization/karlsruhe-institute-of-technology	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	4	
http://data.semanticweb.org/person/zhenzhen-kou	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	4	
http://data.semanticweb.org/person/stefan-tai	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	4	
http://data.semanticweb.org/person/vinny-reynolds	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	4	
http://data.semanticweb.org/person/stuart-owen	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	3	
http://data.semanticweb.org/conference/iswc/2010/paper/428	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	8	11	
http://data.semanticweb.org/person/stefan-bischof	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	3	
http://data.semanticweb.org/person/paul-r-alexander	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	3	
http://data.semanticweb.org/person/pablo-cesare	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	3	
http://data.semanticweb.org/conference/iswc/2010/paper/387	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	8	11	
http://data.semanticweb.org/person/joerg-unbehauen	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	5	
http://data.semanticweb.org/person/rolf-sint	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	4	
http://data.semanticweb.org/workshop/semwiki/2010/paper/main/21	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	8	9	
http://data.semanticweb.org/person/holger-lausen	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	5	
http://data.semanticweb.org/person/enrico-franconi	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	5	5	
http://data.semanticweb.org/ns/swc/ontology#Place	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	2	3	
http://data.semanticweb.org/person/aleksandar-giljanovic	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	3	
http://data.semanticweb.org/person/justin-leavesley	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	3	
http://data.semanticweb.org/conference/iswc/2010/paper/514	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	8	11	
http://data.semanticweb.org/organization/universitaet-leipzig	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	2	3	
http://data.semanticweb.org/person/philip-stutz	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	3	
http://data.semanticweb.org/person/lorand-dali	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	3	
http://data.semanticweb.org/person/anni-yasmin-turhan	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	4	
http://data.semanticweb.org/person/jing-he	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	3	
http://data.semanticweb.org/conference/iswc/2010/paper/135	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	8	11	
http://data.semanticweb.org/person/finn-bacall	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	3	
http://data.semanticweb.org/person/john-niekrasz	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	3	
http://data.semanticweb.org/person/william-murdock	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	2	4	
http://data.semanticweb.org/person/murat-kantarcioglu	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	4	
http://data.semanticweb.org/person/paul-dantzig	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	4	
http://data.semanticweb.org/ns/swc/ontology#Place	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	2	3	
http://data.semanticweb.org/person/kingsley-idehen	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	4	
http://data.semanticweb.org/person/ioan-toma	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	4	4	
http://data.semanticweb.org/person/rob-styles	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	3	4	
http://data.semanticweb.org/ns/swc/ontology#Place	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	2	3	
http://data.semanticweb.org/organization/sapienza-universita-di-roma	http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent	2	3	
