entity	typeentity	diffentropy
http://reegle.info/countries/MY	null	0.0	
http://reegle.info/countries/TL	null	0.0	
http://reegle.info/countries/TH	null	0.0	
http://reegle.info/countries/VN	null	0.0	
http://reegle.info/countries/KI	null	0.0	
http://reegle.info/countries/AO	null	0.0	
http://reegle.info/countries/WS	null	0.0	
http://reegle.info/countries/PG	null	0.0	
http://reegle.info/countries/SV	null	0.0	
http://reegle.info/countries/NR	null	0.0	
http://reegle.info/countries/LC	null	0.0	
http://reegle.info/countries/PW	null	0.0	
http://reegle.info/countries/PH	null	0.0	
http://reegle.info/countries/MQ	null	0.0	
http://reegle.info/countries/BS	null	0.0	
http://reegle.info/countries/NA	null	0.0	
http://reegle.info/countries/IN	null	0.0	
http://reegle.info/countries/SG	null	0.0	
http://reegle.info/countries/FM	null	0.0	
http://reegle.info/countries/TC	null	0.0	
http://reegle.info/countries/MZ	null	0.0	
http://reegle.info/countries/AT	null	0.0	
http://reegle.info/countries/FJ	null	0.0	
http://reegle.info/countries/US	null	0.0	
http://reegle.info/countries/GD	null	0.0	
http://reegle.info/countries/GP	null	0.0	
http://reegle.info/countries/AR	null	0.0	
http://reegle.info/countries/BR	null	0.0	
http://reegle.info/countries/PR	null	0.0	
http://reegle.info/countries/GP	null	0.0	
http://reegle.info/countries/PR	null	0.0	
http://reegle.info/countries/FM	null	0.0	
http://reegle.info/countries/PG	null	0.0	
http://reegle.info/countries/LC	null	0.0	
http://reegle.info/countries/SV	null	0.0	
http://reegle.info/countries/MQ	null	0.0	
http://reegle.info/countries/PW	null	0.0	
http://reegle.info/countries/AR	null	0.0	
http://reegle.info/countries/SG	null	0.0	
http://reegle.info/countries/TC	null	0.0	
http://reegle.info/countries/FJ	null	0.0	
http://reegle.info/countries/BR	null	0.0	
http://reegle.info/countries/AT	null	0.0	
http://reegle.info/countries/GD	null	0.0	
http://reegle.info/schema	null	2.0794415416798357	
http://en.wikipedia.org/wiki/Reegle	null	0.0	
http://dbpedia.org/resource/Reegle	null	1.3862943611198906	
