Measure	Average	GiniCoefficient	
m1.1.b	0.0	NaN	
m1.2.b	0.11844289308871789	0.5254030343988951	
m2.1.b	0.2479348588140737	0.451797091574192	
m2.2.b	0.5731500233727552	0.2462375983459646	
m3.1.b	0.09131644225473691	1.077066871410067	
