entity	typeentity	diffentropy
http://zbw.eu/stw/descriptor/13691-3	null	0.0	
http://zbw.eu/stw/descriptor/18121-5	null	0.0	
http://zbw.eu/stw/descriptor/16160-5	null	0.0	
http://zbw.eu/stw/descriptor/16048-6	null	0.0	
http://zbw.eu/stw/descriptor/20002-5	null	0.0	
http://zbw.eu/stw/descriptor/13691-3	null	0.0	
http://zbw.eu/stw/descriptor/27762-1	null	0.0	
http://zbw.eu/stw/descriptor/10598-1	null	0.0	
http://zbw.eu/stw/descriptor/10215-1	null	0.0	
http://zbw.eu/stw/descriptor/15752-6	null	0.0	
http://zbw.eu/stw/descriptor/11708-1	null	0.0	
http://zbw.eu/stw/descriptor/16545-6	null	0.0	
http://zbw.eu/stw/descriptor/15036-4	null	0.0	
http://zbw.eu/stw/descriptor/13622-1	null	0.0	
http://zbw.eu/stw/descriptor/19201-2	null	0.0	
http://zbw.eu/stw/descriptor/27161-6	null	0.0	
http://zbw.eu/stw/descriptor/29552-2	null	0.0	
http://zbw.eu/stw/descriptor/11237-0	null	0.0	
http://zbw.eu/stw/descriptor/29201-3	null	0.0	
http://zbw.eu/stw/descriptor/19598-5	null	0.0	
http://zbw.eu/stw/descriptor/15088-6	null	0.0	
http://zbw.eu/stw/descriptor/20241-1	null	0.0	
http://zbw.eu/stw/descriptor/17598-1	null	0.0	
http://zbw.eu/stw/descriptor/19113-6	null	0.0	
http://zbw.eu/stw/descriptor/18632-1	null	0.0	
http://zbw.eu/stw/descriptor/11530-2	null	0.0	
http://zbw.eu/stw/descriptor/15767-0	null	0.0	
http://zbw.eu/stw/descriptor/17983-5	null	0.0	
http://zbw.eu/stw/descriptor/16717-3	null	0.0	
http://zbw.eu/stw/descriptor/13073-1	null	0.0	
http://zbw.eu/stw/descriptor/13995-4	null	0.0	
http://zbw.eu/stw/descriptor/15429-6	null	0.0	
http://zbw.eu/stw/descriptor/16727-0	null	0.0	
http://zbw.eu/stw/descriptor/15272-6	null	0.0	
http://zbw.eu/stw/descriptor/13492-2	null	0.0	
http://zbw.eu/stw/descriptor/11596-0	null	0.0	
http://zbw.eu/stw/descriptor/13656-5	null	0.0	
http://zbw.eu/stw/descriptor/13721-6	null	0.0	
http://zbw.eu/stw/descriptor/14420-1	null	0.0	
http://zbw.eu/stw/descriptor/15398-5	null	0.0	
http://zbw.eu/stw/descriptor/14772-5	null	0.0	
http://zbw.eu/stw/descriptor/18387-2	null	0.0	
http://zbw.eu/stw/descriptor/12919-4	null	0.0	
http://zbw.eu/stw/descriptor/14897-6	null	0.0	
http://zbw.eu/stw/descriptor/15903-4	null	0.0	
