id,source,predicate,target,datasets,datasett,typelink,datasetspld,datasettpld
21574430,http://data.semanticweb.org/person/andreas-filler,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/Germany,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21574541,http://data.semanticweb.org/person/benjamin-grosof,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/United_States,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21574600,http://data.semanticweb.org/person/cassia-trojahn,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/France,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21574810,http://data.semanticweb.org/person/finn-bacall,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/United_Kingdom,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21574955,http://data.semanticweb.org/person/jing-he,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/People%27s_Republic_of_China,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21574966,http://data.semanticweb.org/person/joerg-unbehauen,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/Germany,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21575108,http://data.semanticweb.org/person/lorand-dali,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/Slovenia,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21575181,http://data.semanticweb.org/person/michael-erdmann,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/Germany,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21575212,http://data.semanticweb.org/person/murat-kantarcioglu,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/United_States,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21575301,http://data.semanticweb.org/person/paul-r-alexander,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/United_States,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21575356,http://data.semanticweb.org/person/philip-stutz,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/Switzerland,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21575388,http://data.semanticweb.org/person/rolf-sint,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/Austria,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21575492,http://data.semanticweb.org/person/stuart-owen,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/United_Kingdom,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21575594,http://data.semanticweb.org/person/wei-hu,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/People%27s_Republic_of_China,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21575754,http://data.semanticweb.org/person/zoi-kaoudi,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/Greece,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21575883,http://data.semanticweb.org/conference/iswc/2010/paper/135,http://swrc.ontoware.org/ontology#link_open_access,http://iswc2010.semanticweb.org/pdf/135.pdf,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://iswc2010.semanticweb.org/
21575884,http://data.semanticweb.org/conference/iswc/2010/paper/135,http://swrc.ontoware.org/ontology#link_publisher,http://dx.doi.org/10.1007/978-3-642-17746-0_25,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dx.doi.org/
21575885,http://data.semanticweb.org/conference/iswc/2010/paper/135,http://swrc.ontoware.org/ontology#url,http://dx.doi.org/10.1007/978-3-642-17746-0_25,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dx.doi.org/
21575886,http://data.semanticweb.org/conference/iswc/2010/paper/135,http://swrc.ontoware.org/ontology#url,http://iswc2010.semanticweb.org/pdf/135.pdf,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://iswc2010.semanticweb.org/
21575893,http://data.semanticweb.org/conference/iswc/2010/paper/192,http://swrc.ontoware.org/ontology#link_open_access,http://iswc2010.semanticweb.org/pdf/192.pdf,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://iswc2010.semanticweb.org/
21575894,http://data.semanticweb.org/conference/iswc/2010/paper/192,http://swrc.ontoware.org/ontology#link_publisher,http://dx.doi.org/10.1007/978-3-642-17746-0_3,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dx.doi.org/
21575895,http://data.semanticweb.org/conference/iswc/2010/paper/192,http://swrc.ontoware.org/ontology#url,http://dx.doi.org/10.1007/978-3-642-17746-0_3,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dx.doi.org/
21575896,http://data.semanticweb.org/conference/iswc/2010/paper/192,http://swrc.ontoware.org/ontology#url,http://iswc2010.semanticweb.org/pdf/192.pdf,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://iswc2010.semanticweb.org/
21576097,http://data.semanticweb.org/person/amit-sheth,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/United_States,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21576199,http://data.semanticweb.org/person/vinny-reynolds,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/Ireland,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21576530,http://data.semanticweb.org/person/jeff-z-pan,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/United_Kingdom,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21576640,http://data.semanticweb.org/conference/iswc/2010/paper/401,http://swrc.ontoware.org/ontology#link_open_access,http://iswc2010.semanticweb.org/pdf/401.pdf,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://iswc2010.semanticweb.org/
21576641,http://data.semanticweb.org/conference/iswc/2010/paper/401,http://swrc.ontoware.org/ontology#link_publisher,http://dx.doi.org/10.1007/978-3-642-17749-1_7,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dx.doi.org/
21576642,http://data.semanticweb.org/conference/iswc/2010/paper/401,http://swrc.ontoware.org/ontology#url,http://dx.doi.org/10.1007/978-3-642-17749-1_7,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dx.doi.org/
21576643,http://data.semanticweb.org/conference/iswc/2010/paper/401,http://swrc.ontoware.org/ontology#url,http://iswc2010.semanticweb.org/pdf/401.pdf,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://iswc2010.semanticweb.org/
21576672,http://data.semanticweb.org/conference/iswc/2010/paper/428,http://swrc.ontoware.org/ontology#link_open_access,http://iswc2010.semanticweb.org/pdf/428.pdf,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://iswc2010.semanticweb.org/
21576673,http://data.semanticweb.org/conference/iswc/2010/paper/428,http://swrc.ontoware.org/ontology#link_publisher,http://dx.doi.org/10.1007/978-3-642-17749-1_17,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dx.doi.org/
21576674,http://data.semanticweb.org/conference/iswc/2010/paper/428,http://swrc.ontoware.org/ontology#url,http://dx.doi.org/10.1007/978-3-642-17749-1_17,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://dx.doi.org/
21576675,http://data.semanticweb.org/conference/iswc/2010/paper/428,http://swrc.ontoware.org/ontology#url,http://iswc2010.semanticweb.org/pdf/428.pdf,http://data.semanticweb.org/conference/iswc/2010/complete,NULL,r,http://data.semanticweb.org,http://iswc2010.semanticweb.org/
21714288,http://data.semanticweb.org/person/sergio-fernandez,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/Spain,http://data.semanticweb.org/person/sergio-fernandez/rdf,NULL,r,http://data.semanticweb.org,http://dbpedia.org
21714290,http://data.semanticweb.org/person/sergio-fernandez,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.wikier.org/foaf.rdf,http://data.semanticweb.org/person/sergio-fernandez/rdf,NULL,o,http://data.semanticweb.org,http://www.wikier.org/
21714291,http://data.semanticweb.org/person/sergio-fernandez,http://www.w3.org/2002/07/owl#sameAs,http://www.wikier.org/foaf#wikier,http://data.semanticweb.org/person/sergio-fernandez/rdf,NULL,i,http://data.semanticweb.org,http://www.wikier.org/
21714294,http://data.semanticweb.org/person/sergio-fernandez,http://www.w3.org/2002/07/owl#sameAs,http://www.eswc2006.org/people/#sergio-fernandez,http://data.semanticweb.org/person/sergio-fernandez/rdf,NULL,i,http://data.semanticweb.org,http://www.eswc2006.org/
21714297,http://data.semanticweb.org/person/sergio-fernandez,http://www.w3.org/2002/07/owl#sameAs,http://www.wikier.org/foaf#wikier,http://data.semanticweb.org/person/sergio-fernandez/rdf,NULL,i,http://data.semanticweb.org,http://www.wikier.org/
21714298,http://data.semanticweb.org/person/sergio-fernandez,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.wikier.org/foaf.rdf,http://data.semanticweb.org/person/sergio-fernandez/rdf,NULL,o,http://data.semanticweb.org,http://www.wikier.org/
22109784,http://data.semanticweb.org/person/rob-styles,http://www.w3.org/2002/07/owl#sameAs,http://purl.org/ontology/places/#rob,http://lov.okfn.org/dataset/lov/lov.rdf,NULL,i,http://data.semanticweb.org,http://purl.org/
22109823,http://data.semanticweb.org/person/ioan-toma,http://www.w3.org/2002/07/owl#sameAs,http://vocab.sti2.at/vrank#itoma,http://lov.okfn.org/dataset/lov/lov.rdf,NULL,i,http://data.semanticweb.org,http://vocab.sti2.at/
22276562,http://data.semanticweb.org/person/martin-junghans,http://xmlns.com/foaf/0.1/based_near,http://dbpedia.org/resource/Germany,http://data.semanticweb.org/person/martin-junghans/rdf,NULL,r,http://data.semanticweb.org,http://dbpedia.org
